1911,John,F
1911,John,M
1911,Johney,M
1911,Johnie,F
1911,Johnie,M
1911,Johnnie,F
1911,Johnnie,M
1911,Johnny,F
1911,Johnny,M
1911,Johnnye,F
1911,Johnsie,F
1911,Johnson,M
1911,Johny,M
1911,Jonathan,M
1911,Nathan,M
1912,Johann,M
1912,Johanna,F
1912,John,F
1912,John,M
1912,Johnetta,F
1912,Johney,M
1912,Johnie,F
1912,Johnie,M
1912,Johnney,M
1912,Johnnie,F
1912,Johnnie,M
1912,Johnny,F
1912,Johnny,M
1912,Johnsie,F
1912,Johnson,M
1912,Johny,M
1912,Jonathan,M
1912,Jonathon,M
1912,Lathan,M
1912,Nathan,M
1913,Johanna,F
1913,Johannah,F
1913,Johannes,M
1913,John,F
1913,John,M
1913,Johney,M
1913,Johnie,F
1913,Johnie,M
1913,Johnney,M
1913,Johnnie,F
1913,Johnnie,M
1913,Johnny,F
1913,Johnny,M
1913,Johnnye,F
1913,Johnsie,F
1913,Johnson,M
1913,Johny,M
1913,Jonathan,M
1913,Nathan,M
1914,Johan,M
1914,Johanna,F
1914,Johannah,F
1914,Johannes,M
1914,John,F
1914,John,M
1914,Johnathan,M
1914,Johnetta,F
1914,Johnette,F
1914,Johney,M
1914,Johnie,F
1914,Johnie,M
1914,Johnnie,F
1914,Johnnie,M
1914,Johnny,F
1914,Johnny,M
1914,Johnnye,F
1914,Johnsie,F
1914,Johnson,M
1914,Johnston,M
1914,Johny,M
1914,Jonathan,M
1914,Lathan,M
1914,Nathan,M
1915,Johan,M
1915,Johana,F
1915,Johann,M
1915,Johanna,F
1915,Johannah,F
1915,Johannes,M
1915,John,F
1915,John,M
1915,Johnathan,M
1915,Johnetta,F
1915,Johney,M
1915,Johnie,F
1915,Johnie,M
1915,Johnney,M
1915,Johnnie,F
1915,Johnnie,M
1915,Johnny,F
1915,Johnny,M
1915,Johnnye,F
1915,Johnsie,F
1915,Johnson,M
1915,Johnston,M
1915,Johny,M
1915,Jonathan,M
1915,Jonathon,M
1915,Lathan,M
1915,Nathan,F
1915,Nathan,M
1916,Johan,M
1916,Johana,F
1916,Johanna,F
1916,Johannah,F
1916,Johanne,F
1916,John,F
1916,John,M
1916,Johnathan,M
1916,Johnella,F
1916,Johnetta,F
1916,Johnette,F
1916,Johney,M
1916,Johnie,F
1916,Johnie,M
1916,Johnney,M
1916,Johnnie,F
1916,Johnnie,M
1916,Johnny,F
1916,Johnny,M
1916,Johnnye,F
1916,Johnsie,F
1916,Johnson,M
1916,Johnston,M
1916,Johny,M
1916,Johnye,F
1916,Jonathan,M
1916,Jonathon,M
1916,Lathan,M
1916,Nathan,M
1917,Athan,M
1917,Johann,M
1917,Johanna,F
1917,Johannah,F
1917,Johanne,F
1917,Johannes,M
1917,John,F
1917,John,M
1917,Johnathan,M
1917,Johnetta,F
1917,Johney,M
1917,Johnie,F
1917,Johnie,M
1917,Johnney,M
1917,Johnnie,F
1917,Johnnie,M
1917,Johnny,F
1917,Johnny,M
1917,Johnnye,F
1917,Johnsie,F
1917,Johnson,F
1917,Johnson,M
1917,Johny,M
1917,Johnye,F
1917,Jonathan,M
1917,Jonathon,M
1917,Nathan,F
1917,Nathan,M
1917,Nathanel,M
1918,Johan,M
1918,Johann,F
1918,Johann,M
1918,Johanna,F
1918,Johannah,F
1918,Johanne,F
1918,Johannes,M
1918,John,F
1918,John,M
1918,Johnathan,M
1918,Johnetta,F
1918,Johney,M
1918,Johnie,F
1918,Johnie,M
1918,Johnney,M
1918,Johnnie,F
1918,Johnnie,M
1918,Johnny,F
1918,Johnny,M
1918,Johnnye,F
1918,Johnsie,F
1918,Johnson,M
1918,Johny,M
1918,Johnye,F
1918,Jonathan,M
1918,Lathan,M
1918,Nathan,M
1919,Johan,M
