Year,Name,Gender
1968,Johnathon,M
1968,Johathan,M
1968,Johnthan,M
1968,Jonothan,M
1968,Donathan,M
1968,Joenathan,M
1968,Jonnathan,M
1968,Jonathen,M
1968,Jonthan,M
1969,Johnetta,F
1969,Jonathan,F
1969,Johnita,F
1969,Johnathan,F
1969,Jonathan,M
1969,Jonathon,M
1969,Johnathan,M
1969,Johnathon,M
1969,Johathan,M
1969,Jonothan,M
1969,Jonthan,M
1969,Jonathen,M
1969,Johnthan,M
1970,Johnetta,F
1970,Jonathan,F
1970,Johnita,F
1970,Johnanna,F
1970,Jonathan,M
1970,Jonathon,M
1970,Johnathan,M
1970,Johnathon,M
1970,Johathan,M
1970,Jonthan,M
1970,Johnthan,M
1970,Jonathen,M
1970,Jonothan,M
1970,Jonnathan,M
1970,Joanthan,M
1970,Johnathen,M
1970,Johnaton,M
1971,Johnetta,F
1971,Jonathan,F
1971,Johnita,F
1971,Johnanna,F
1971,Johnathan,F
1971,Jonathan,M
1971,Johnathan,M
1971,Jonathon,M
1971,Johnathon,M
1971,Johathan,M
1971,Jonothan,M
1971,Jonthan,M
1971,Johnthan,M
1971,Joenathan,M
1971,Jonathen,M
1971,Jonnathan,M
1971,Donathan,M
1971,Joanthan,M
1971,Jathan,M
1971,Jonatan,M
1971,Jonath,M
1971,Johnathen,M
1971,Jonatha,M
1972,Jonathan,F
1972,Johnetta,F
1972,Johnita,F
1972,Jonathan,M
1972,Johnathan,M
1972,Jonathon,M
1972,Johnathon,M
1972,Jonthan,M
1972,Johnthan,M
1972,Jonothan,M
1972,Johathan,M
1972,Joanthan,M
1972,Jonatha,M
1972,Jonathen,M
1972,Johnathen,M
1972,Jonnathan,M
1972,Donathan,M
1972,Johnothan,M
1972,Johnta,M
1972,Jonithan,M
1973,Jonathan,F
1973,Johnetta,F
1973,Johnathan,F
1973,Johnita,F
1973,Johnitta,F
1973,Jonathan,M
1973,Johnathan,M
1973,Jonathon,M
1973,Johnathon,M
1973,Johathan,M
1973,Jonthan,M
1973,Jonothan,M
1973,Jathan,M
1973,Johnthan,M
1973,Donathan,M
1973,Joanthan,M
1973,Jonathen,M
1973,Elnathan,M
1973,Jhonathan,M
1973,Joenathan,M
1973,Johnatha,M
1973,Johnston,M
1973,Jonnathan,M
1974,Jonathan,F
1974,Johnetta,F
1974,Johnita,F
1974,Johnathan,F
1974,Jonathan,M
1974,Johnathan,M
1974,Jonathon,M
1974,Johnathon,M
1974,Johathan,M
1974,Jonothan,M
1974,Jonthan,M
1974,Johnthan,M
1974,Jonathen,M
1974,Jonnathan,M
1974,Donathan,M
1974,Joenathan,M
1974,Jathan,M
1974,Joanthan,M
1974,Jonath,M
1974,Johnathen,M
1974,Jonatha,M
1974,Yonatan,M
1975,Jonathan,F
1975,Johnetta,F
1975,Johnita,F
1975,Johnanna,F
1975,Johnathan,F
1975,Jonathon,F
1975,Jonathan,M
1975,Johnathan,M
1975,Jonathon,M
1975,Johnathon,M
1975,Johathan,M
1975,Jonothan,M
1975,Johnthan,M
1975,Jathan,M
1975,Jonathen,M
1975,Jonthan,M
1975,Johnston,M
1975,Johnathen,M
1975,Joanthan,M
1975,Jonanthan,M
1975,Joenathan,M
1975,Johnothan,M
1975,Jonatan,M
1975,Jonath,M
1976,Jonathan,F
1976,Johnetta,F
1976,Johnita,F
1976,Johnathan,F
1976,Jonathan,M
1976,Johnathan,M
1976,Jonathon,M
1976,Johnathon,M
1976,Johathan,M
1976,Donathan,M
1976,Jathan,M
1976,Jonthan,M
1976,Joanthan,M
1976,Jonothan,M
1976,Jonnathan,M
1976,Janathan,M
1976,Jonathen,M
1976,Johnston,M
1976,Yonatan,M
1976,Johnaton,M
1976,Johnthan,M
1976,Johnathen,M
1976,Onathan,M
1977,Jonathan,F
1977,Johnetta,F
1977,Johnita,F
1977,Johnathan,F
1977,Jonathan,M
1977,Johnathan,M
1977,Jonathon,M
1977,Johnathon,M
1977,Johathan,M
1977,Jonothan,M
1977,Jonthan,M
1977,Jathan,M
1977,Johnthan,M
1977,Jonathen,M
1977,Yonatan,M
1977,Johnston,M
1977,Jonanthan,M
1977,Donathan,M
1977,Joanthan,M
1977,Johnathen,M
1977,Johnaton,M
1977,Jonnathan,M
1977,Jonatha,M
1977,Jonothon,M
1977,Joanathan,M
1977,Johnnathan,M
1977,Jonahtan,M
1978,Jonathan,F
1978,Johnetta,F
1978,Johnathan,F
1978,Johnita,F
1978,Johnisha,F
1978,Jonathon,F
1978,Jonathan,M
1978,Johnathan,M
1978,Jonathon,M
1978,Johnathon,M
1978,Johathan,M
1978,Jathan,M
1978,Joanthan,M
1978,Jonothan,M
1978,Jonatha,M
1978,Jonthan,M
1978,Jonathen,M
1978,Yonatan,M
1978,Donathan,M
1978,Johnthan,M
1978,Jonnathan,M
1978,Johnathen,M
1978,Johanthan,M
1978,Johnanthony,M
1978,Johnaton,M
1978,Johnta,M
1978,Janathan,M
1978,Joenathan,M
1978,Johathon,M
1978,Jonatan,M
1978,Onathan,M
1979,Jonathan,F
1979,Johnetta,F
1979,Johnita,F
1979,Johnathan,F
1979,Johnisha,F
1979,Johnesha,F
1979,Jonathon,F
1979,Jonathan,M
1979,Johnathan,M
1979,Jonathon,M
1979,Johnathon,M
1979,Johathan,M
1979,Jonathen,M
1979,Jonthan,M
1979,Jonothan,M
1979,Jathan,M
1979,Johnathen,M
1979,Yonatan,M
1979,Jonatan,M
1979,Johnthan,M
1979,Jonatha,M
1979,Donathan,M
1979,Joanthan,M
1979,Jonnathan,M
1979,Johnnathan,M
1979,Johnston,M
1979,Jonahtan,M
1979,Johnanthony,M
1980,Jonathan,F
1980,Johnetta,F
1980,Johnathan,F
1980,Johnita,F
1980,Johnisha,F
1980,Jonathon,F
1980,Jonathan,M
1980,Jonathon,M
1980,Johnathan,M
1980,Johnathon,M
1980,Johathan,M
1980,Jonthan,M
1980,Joanthan,M
1980,Jonathen,M
1980,Johnthan,M
1980,Jonothan,M
1980,Donathan,M
1980,Johnathen,M
1980,Jonatan,M
1980,Jonatha,M
1980,Yonatan,M
1980,Jonnathan,M
1980,Jathan,M
1980,Johnnathan,M
1980,Johnston,M
1980,Janathan,M
1980,Jonahtan,M
1980,Johnta,M
1980,Joenathan,M
1980,Johathon,M
1980,Johnnathon,M
1980,Johnryan,M
1981,Jonathan,F
1981,Johnetta,F
1981,Johnathan,F
1981,Johnita,F
1981,Johnisha,F
1981,Jonathon,F
1981,Jonathan,M
1981,Johnathan,M
1981,Jonathon,M
1981,Johnathon,M
1981,Johathan,M
1981,Jonthan,M
1981,Jonathen,M
1981,Jonothan,M
1981,Jonatha,M
1981,Joanthan,M
1981,Johnathen,M
1981,Johnthan,M
1981,Jonnathan,M
1981,Jathan,M
1981,Janathan,M
1981,Johnatan,M
1981,Jonahtan,M
1981,Jonatan,M
1981,Yonatan,M
1981,Johanthan,M
1981,Johnanthony,M
1981,Donathan,M
1981,Johnaton,M
1981,Joathan,M
1981,Jonath,M
1981,Jonathn,M
1981,Jonothon,M
1981,Joenathan,M
1981,Johathon,M
1981,Johnnathan,M
1981,Johnston,M
1981,Johntae,M
1981,Jonatham,M
1982,Jonathan,F
1982,Johnetta,F
1982,Johnathan,F
1982,Jonathon,F
1982,Johnita,F
1982,Johnathon,F
1982,Jonathan,M
1982,Johnathan,M
1982,Jonathon,M
1982,Johnathon,M
1982,Johathan,M
1982,Jonthan,M
1982,Jonothan,M
1982,Jonathen,M
1982,Jonatha,M
1982,Johnthan,M
1982,Joanthan,M
1982,Yonatan,M
1982,Jonatan,M
1982,Johnathen,M
1982,Janathan,M
1982,Jathan,M
1982,Jonahtan,M
1982,Jonnathan,M
1982,Johanthan,M
1982,Johnaton,M
1982,Joanathan,M
1982,Jonatham,M
1982,Donathan,M
1982,Johathon,M
1982,Johnryan,M
1982,Johnta,M
1982,Johanan,M
1982,Johnnathan,M
1982,Jonanthan,M
1982,Jonathn,M
1982,Johnatha,M
1982,Jonahan,M
1982,Jonathaon,M
1983,Jonathan,F
1983,Johnetta,F
1983,Johnathan,F
1983,Jonathon,F
1983,Johnita,F
1983,Johnathon,F
1983,Johnisha,F
1983,Jonathan,M
1983,Johnathan,M
1983,Jonathon,M
1983,Johnathon,M
1983,Johathan,M
1983,Jonthan,M
1983,Johnathen,M
1983,Jonatha,M
1983,Jonathen,M
1983,Jonothan,M
1983,Joanthan,M
1983,Janathan,M
1983,Johnthan,M
1983,Jonatan,M
1983,Jonnathan,M
1983,Jonahtan,M
1983,Yonatan,M
1983,Jathan,M
1983,Johnaton,M
1983,Johathon,M
1983,Johnston,M
1983,Johnta,M
1983,Donathan,M
1983,Johnanthony,M
1983,Jhonathan,M
1983,Johnatan,M
1983,Joanathan,M
1983,Johnatha,M
1983,Johnryan,M
1983,Jonanthan,M
1983,Jothan,M
1983,Yonathan,M
1984,Jonathan,F
1984,Johnetta,F
1984,Jonathon,F
1984,Johnathan,F
1984,Johnita,F
1984,Johnisha,F
1984,Johnanna,F
1984,Johnathon,F
1984,Johnesha,F
1984,Jonathan,M
1984,Johnathan,M
1984,Jonathon,M
1984,Johnathon,M
1984,Johathan,M
1984,Jonthan,M
1984,Johnthan,M
1984,Joanthan,M
1984,Jonathen,M
1984,Johnathen,M
1984,Yonatan,M
1984,Janathan,M
1984,Jonatha,M
1984,Jonothan,M
1984,Jonnathan,M
1984,Jonahtan,M
1984,Jonatan,M
1984,Jathan,M
1984,Johnta,M
1984,Jhonathan,M
1984,Johnaton,M
1984,Johanthan,M
1984,Johnnathan,M
1984,Johnothan,M
1984,Donathan,M
1984,Joanathan,M
1984,Johnanthony,M
1984,Joenathan,M
1984,Johnathin,M
1984,Johnston,M
1984,Jonathn,M
1984,Johanan,M
1984,Johathon,M
1984,Johnatan,M
1984,Johnryan,M
1984,Johntae,M
1984,Jonanthan,M
1984,Jonathin,M
1984,Jonnathon,M
1984,Yonathan,M
1985,Jonathan,F
1985,Johnetta,F
1985,Jonathon,F
1985,Johnathan,F
1985,Johnita,F
1985,Johnisha,F
1985,Johnesha,F
1985,Johnanna,F
1985,Johnathon,F
1985,Jonathan,M
1985,Johnathan,M
1985,Jonathon,M
1985,Johnathon,M
1985,Johathan,M
1985,Jonthan,M
1985,Joanthan,M
1985,Johnathen,M
1985,Johnthan,M
1985,Jonothan,M
1985,Jonathen,M
1985,Jonatha,M
1985,Jonnathan,M
1985,Janathan,M
1985,Jonatan,M
1985,Johnaton,M
1985,Jonahtan,M
1985,Yonathan,M
1985,Yonatan,M
1985,Donathan,M
1985,Jathan,M
1985,Johntae,M
1985,Jhonathan,M
1985,Joanathan,M
1985,Johnathn,M
1985,Johnston,M
1985,Johanthan,M
1985,Johathon,M
1985,Johnanthony,M
1985,Johnnathan,M
1985,Joathan,M
1985,Joenathan,M
1985,Johnadam,M
1985,Johnanthan,M
1985,Johnatan,M
1986,Jonathan,F
1986,Johnetta,F
1986,Jonathon,F
1986,Johnathan,F
1986,Johnisha,F
1986,Johnita,F
1986,Johnathon,F
1986,Jonathan,M
1986,Johnathan,M
1986,Jonathon,M
1986,Johnathon,M
1986,Johathan,M
1986,Jonthan,M
1986,Joanthan,M
1986,Jonatha,M
1986,Jonathen,M
1986,Yonatan,M
1986,Jonnathan,M
1986,Johnthan,M
1986,Jonatan,M
1986,Janathan,M
1986,Johnathen,M
1986,Jonothan,M
1986,Donathan,M
1986,Johanthan,M
1986,Jathan,M
1986,Johnatan,M
1986,Jonahtan,M
1986,Yonathan,M
1986,Joenathan,M
1986,Johathon,M
1986,Johnanthony,M
1986,Johnnathan,M
1986,Johnta,M
1986,Jhonatan,M
1986,Johnatha,M
1986,Joanathan,M
1986,Johntae,M
1986,Jonatham,M
1986,Onathan,M
1986,Jhonathan,M
1986,Joathan,M
1986,Johnaton,M
1986,Johnston,M
1986,Jonanthan,M
1986,Donathon,M
1986,Jhonathon,M
1986,Johnothan,M
1986,Johnthon,M
1986,Jonhathan,M
1986,Jonothon,M
1987,Jonathan,F
1987,Johnetta,F
1987,Johnathan,F
1987,Johnisha,F
1987,Johnita,F
1987,Jonathon,F
1987,Johnesha,F
1987,Johnathon,F
1987,Johnanna,F
1987,Johnta,F
1987,Jonathan,M
1987,Johnathan,M
1987,Jonathon,M
1987,Johnathon,M
1987,Johathan,M
1987,Jonthan,M
1987,Jonnathan,M
1987,Johnathen,M
1987,Joanthan,M
1987,Jonothan,M
1987,Jonatan,M
1987,Jonathen,M
1987,Yonatan,M
1987,Johnthan,M
1987,Jonatha,M
1987,Janathan,M
1987,Jonahtan,M
1987,Jhonathan,M
1987,Johanthan,M
1987,Yonathan,M
1987,Johnanthony,M
1987,Donathan,M
1987,Joanathan,M
1987,Onathan,M
1987,Johnatan,M
1987,Jathan,M
1987,Johnta,M
1987,Johathon,M
1987,Johnathin,M
1987,Johnaton,M
1987,Johnattan,M
1987,Jonatham,M
1987,Johnathn,M
1987,Johnston,M
1987,Jonattan,M
1987,Jonatthan,M
1988,Jonathan,F
1988,Johnetta,F
1988,Johnisha,F
1988,Jonathon,F
1988,Johnathan,F
1988,Johnita,F
1988,Johnesha,F
1988,Jonathan,M
1988,Johnathan,M
1988,Jonathon,M
1988,Johnathon,M
1988,Johathan,M
1988,Jonathen,M
1988,Jonatan,M
1988,Jonthan,M
1988,Johnthan,M
1988,Jonnathan,M
1988,Johnathen,M
1988,Joanthan,M
1988,Jonatha,M
1988,Janathan,M
1988,Yonatan,M
1988,Johnanthony,M
1988,Jonahtan,M
1988,Yonathan,M
1988,Jhonathan,M
1988,Johathon,M
1988,Johnta,M
1988,Jonanthan,M
1988,Jonothan,M
1988,Onathan,M
1988,Johanthan,M
1988,Johnathin,M
1988,Joanathan,M
1988,Johnaton,M
1988,Johntae,M
1988,Donathan,M
1988,Jathan,M
1988,Jonahan,M
1988,Johnnathan,M
1988,Jonath,M
1988,Jonathin,M
1988,Jonathn,M
1988,Joanthon,M
1988,Jonathna,M
1989,Jonathan,F
