Year,Name,Gender
1978,Johathon,M
1978,Jonatan,M
1979,Jonathan,F
1979,Johna,F
1979,Johannah,F
1979,Johnathan,F
1979,Jonathan,M
1979,Johnathan,M
1979,Johnathon,M
1979,Johathan,M
1979,Johnathen,M
1979,Jonatan,M
1979,Johnthan,M
1979,Joanthan,M
1979,Jonnathan,M
1979,Johnnathan,M
1979,Jonahtan,M
1980,Jonathan,F
1980,Johna,F
1980,Johannah,F
1980,Johnathan,F
1980,Jonathan,M
1980,Johnathan,M
1980,Johnathon,M
1980,Johathan,M
1980,Joanthan,M
1980,Johnthan,M
1980,Johnathen,M
1980,Jonatan,M
1980,Jonnathan,M
1980,Johnnathan,M
1980,Jonahtan,M
1980,Joenathan,M
1980,Johathon,M
1981,Jonathan,F
1981,Johna,F
1981,Johannah,F
1981,Johnathan,F
1981,Jonathan,M
1981,Johnathan,M
1981,Johnathon,M
1981,Johathan,M
1981,Joanthan,M
1981,Johnathen,M
1981,Johnthan,M
1981,Jonnathan,M
1981,Johnatan,M
1981,Jonahtan,M
1981,Jonatan,M
1981,Johanthan,M
1981,Johnaton,M
1981,Joenathan,M
1981,Johathon,M
1981,Johnnathan,M
1982,Jonathan,F
1982,Johna,F
1982,Johannah,F
1982,Johnathan,F
1982,Johnathon,F
1982,Jonathan,M
1982,Johnathan,M
1982,Johnathon,M
1982,Johathan,M
1982,Johnthan,M
1982,Joanthan,M
1982,Jonatan,M
1982,Johnathen,M
1982,Jonahtan,M
1982,Jonnathan,M
1982,Johanthan,M
1982,Johnaton,M
1982,Johathon,M
1982,Johanan,M
1982,Johnnathan,M
1982,Jonanthan,M
1982,Johnatha,M
1982,Jonahan,M
1983,Jonathan,F
1983,Johannah,F
1983,Johna,F
1983,Johnathan,F
1983,Johnathon,F
1983,Jonathan,M
1983,Johnathan,M
1983,Johnathon,M
1983,Johathan,M
1983,Johnathen,M
1983,Joanthan,M
1983,Johnthan,M
1983,Jonatan,M
1983,Jonnathan,M
1983,Jonahtan,M
1983,Johnaton,M
1983,Johathon,M
1983,Jhonathan,M
1983,Johnatan,M
1983,Johnatha,M
1983,Jonanthan,M
1984,Jonathan,F
1984,Johna,F
1984,Johannah,F
1984,Johnathan,F
1984,Johnanna,F
1984,Johnathon,F
1984,Jonathan,M
1984,Johnathan,M
1984,Johnathon,M
1984,Johathan,M
1984,Johnthan,M
1984,Joanthan,M
1984,Johnathen,M
1984,Jonnathan,M
1984,Jonahtan,M
1984,Jonatan,M
1984,Jhonathan,M
1984,Johnaton,M
1984,Johanthan,M
1984,Johnnathan,M
1984,Johnothan,M
1984,Joenathan,M
1984,Johnathin,M
1984,Johanan,M
1984,Johathon,M
1984,Johnatan,M
1984,Jonanthan,M
1985,Jonathan,F
1985,Johannah,F
1985,Johna,F
1985,Johnathan,F
1985,Johnanna,F
1985,Johnathon,F
1985,Jonathan,M
1985,Johnathan,M
1985,Johnathon,M
1985,Johathan,M
1985,Joanthan,M
1985,Johnathen,M
1985,Johnthan,M
1985,Jonnathan,M
1985,Jonatan,M
1985,Johnaton,M
1985,Jonahtan,M
1985,Jhonathan,M
1985,Johnathn,M
1985,Johanthan,M
1985,Johathon,M
1985,Johnnathan,M
1985,Joenathan,M
1985,Johnanthan,M
1985,Johnatan,M
1986,Jonathan,F
1986,Johannah,F
1986,Johna,F
1986,Johnathan,F
1986,Johnathon,F
1986,Jonathan,M
1986,Johnathan,M
1986,Johnathon,M
1986,Johathan,M
1986,Joanthan,M
1986,Jonnathan,M
1986,Johnthan,M
1986,Jonatan,M
1986,Johnathen,M
1986,Johanthan,M
1986,Johnatan,M
1986,Jonahtan,M
1986,Joenathan,M
1986,Johathon,M
1986,Johnnathan,M
1986,Jhonatan,M
1986,Johnatha,M
1986,Jhonathan,M
1986,Johnaton,M
1986,Jonanthan,M
1986,Johnothan,M
1986,Johnthon,M
1986,Jonhathan,M
1987,Jonathan,F
1987,Johna,F
1987,Johannah,F
1987,Johnathan,F
1987,Johnathon,F
1987,Johnanna,F
1987,Jonathan,M
1987,Johnathan,M
1987,Johnathon,M
1987,Johathan,M
1987,Jonnathan,M
1987,Johnathen,M
1987,Joanthan,M
1987,Jonatan,M
1987,Johnthan,M
1987,Jonahtan,M
1987,Jhonathan,M
1987,Johanthan,M
1987,Johnatan,M
1987,Johathon,M
1987,Johnathin,M
1987,Johnaton,M
1987,Johnattan,M
1987,Johnathn,M
1987,Jonattan,M
1987,Jonatthan,M
1988,Jonathan,F
1988,Johannah,F
1988,Johna,F
1988,Johnathan,F
1988,Jonathan,M
1988,Johnathan,M
1988,Johnathon,M
1988,Johathan,M
1988,Jonatan,M
1988,Johnthan,M
1988,Jonnathan,M
1988,Johnathen,M
1988,Joanthan,M
1988,Jonahtan,M
1988,Jhonathan,M
1988,Johathon,M
1988,Jonanthan,M
1988,Johanthan,M
1988,Johnathin,M
1988,Johnaton,M
1988,Jonahan,M
1988,Johnnathan,M
1989,Jonathan,F
1989,Johannah,F
1989,Johna,F
1989,Johnathan,F
1989,Johnanna,F
1989,Johnathon,F
1989,Jonathan,M
1989,Johnathan,M
1989,Johnathon,M
1989,Johathan,M
1989,Joanthan,M
1989,Johnathen,M
1989,Johnatha,M
1989,Jonatan,M
1989,Johnthan,M
1989,Jonnathan,M
1989,Jhonathan,M
1989,Johnatan,M
1989,Jonahtan,M
1989,Johathon,M
1989,Johnatho,M
1989,Johnnathan,M
1989,Johanthan,M
1989,Johnaton,M
1989,Jonanthan,M
1989,Jhonatan,M
1989,Johnattan,M
1989,Johnothan,M
1989,Johnathin,M
1990,Jonathan,F
1990,Johannah,F
1990,Johna,F
1990,Johnathan,F
1990,Jonathan,M
1990,Johnathan,M
1990,Johnathon,M
1990,Johathan,M
1990,Jonatan,M
1990,Jonnathan,M
1990,Johnathen,M
1990,Johnthan,M
1990,Joanthan,M
1990,Johnatan,M
1990,Johnnathan,M
1990,Jhonathan,M
1990,Jhonatan,M
1990,Johnaton,M
1990,Johnathin,M
1990,Johnothan,M
1990,Johanthan,M
1990,Johnattan,M
1990,Jonanthan,M
1990,Jonattan,M
1990,Johathon,M
1990,Johnathn,M
1990,Jonahtan,M
1990,Joenathan,M
1991,Jonathan,F
1991,Johannah,F
1991,Johna,F
1991,Johnathan,F
1991,Jonathan,M
1991,Johnathan,M
1991,Johnathon,M
1991,Jonatan,M
1991,Johathan,M
1991,Johnathen,M
1991,Johnthan,M
1991,Jonnathan,M
1991,Jhonathan,M
1991,Johnatan,M
1991,Johnnathan,M
1991,Joanthan,M
1991,Jonahtan,M
1991,Jhonatan,M
1991,Johnaton,M
1991,Johnathin,M
1991,Johnattan,M
1991,Johathon,M
1991,Johanthan,M
1992,Jonathan,F
1992,Johannah,F
1992,Johna,F
1992,Jonathan,M
1992,Johnathan,M
1992,Johnathon,M
1992,Jonatan,M
1992,Johathan,M
1992,Jonnathan,M
1992,Johnathen,M
1992,Johnatan,M
1992,Johnthan,M
1992,Jhonatan,M
1992,Jhonathan,M
1992,Joanthan,M
1992,Johnnathan,M
1992,Johnathin,M
1992,Johnaton,M
1992,Jonahtan,M
1992,Johnothan,M
1992,Jonhatan,M
1992,Johathon,M
1992,Johnattan,M
1992,Johnathn,M
1992,Jonattan,M
1992,Jonatthan,M
1993,Jonathan,F
1993,Johannah,F
1993,Johna,F
1993,Johnathan,F
1993,Jonathan,M
1993,Johnathan,M
1993,Johnathon,M
1993,Jonatan,M
1993,Jonnathan,M
1993,Johathan,M
1993,Johnathen,M
1993,Jhonatan,M
1993,Johnatan,M
1993,Johnthan,M
1993,Jhonathan,M
1993,Joanthan,M
1993,Johnaton,M
1993,Johnnathan,M
1993,Johathon,M
1993,Johnathin,M
1993,Jonhatan,M
1994,Jonathan,F
1994,Johannah,F
1994,Johna,F
1994,Johnathan,F
1994,Jonathan,M
1994,Johnathan,M
1994,Johnathon,M
1994,Jonatan,M
1994,Johnathen,M
1994,Johathan,M
1994,Jonnathan,M
1994,Jhonatan,M
1994,Jhonathan,M
1994,Johnthan,M
1994,Johnatan,M
1994,Joanthan,M
1994,Johnnathan,M
1994,Johnaton,M
1994,Johnothan,M
1994,Johnathin,M
1994,Johnattan,M
1994,Johanan,M
1994,Jonahtan,M
1994,Johnathn,M
1994,Jonanthan,M
1994,Jonattan,M
1995,Jonathan,F
1995,Johannah,F
1995,Johna,F
1995,Johnathan,F
1995,Jonathan,M
1995,Johnathan,M
1995,Johnathon,M
1995,Jonatan,M
1995,Johnathen,M
1995,Johathan,M
1995,Jonnathan,M
1995,Jhonathan,M
1995,Johnatan,M
1995,Jhonatan,M
1995,Johnthan,M
1995,Joanthan,M
1995,Johna,M
1995,Jonnatan,M
1995,Johanan,M
1995,Johnathin,M
1995,Johnnathan,M
1995,Johnothan,M
1996,Jonathan,F
1996,Johannah,F
1996,Johna,F
1996,Johnathan,F
1996,Jonathan,M
1996,Johnathan,M
1996,Johnathon,M
1996,Jonatan,M
1996,Johnathen,M
1996,Jhonatan,M
1996,Jonnathan,M
1996,Johathan,M
1996,Jhonathan,M
1996,Johnatan,M
1996,Johnthan,M
1996,Johnnathan,M
1996,Johnaton,M
1996,Jonhatan,M
1996,Johathon,M
1996,Johnathin,M
1996,Johnathn,M
1996,Johnattan,M
1996,Johnothan,M
1997,Johannah,F
1997,Jonathan,F
1997,Johna,F
1997,Johnathan,F
1997,Johnathon,F
1997,Jonathan,M
1997,Johnathan,M
1997,Johnathon,M
1997,Jonatan,M
1997,Johnathen,M
1997,Jonnathan,M
1997,Jhonatan,M
1997,Jhonathan,M
1997,Johnatan,M
1997,Johnthan,M
1997,Johathan,M
1997,Johanan,M
1997,Johnathin,M
1997,Johnattan,M
1997,Johnnathan,M
1997,Jonhatan,M
1997,Johnaton,M
1997,Johnothan,M
1997,Jonahtan,M
1997,Joenathan,M
1998,Johannah,F
1998,Jonathan,F
1998,Johna,F
1998,Jonathan,M
1998,Johnathan,M
1998,Johnathon,M
1998,Jonatan,M
1998,Johnathen,M
1998,Jonnathan,M
1998,Johnatan,M
1998,Jhonatan,M
1998,Johathan,M
1998,Jhonathan,M
1998,Johnthan,M
1998,Johanan,M
1998,Jonattan,M
1998,Johnnathan,M
1998,Johnaton,M
1998,Joenathan,M
1998,Johnattan,M
1998,Johnathin,M
1998,Johnathyn,M
1998,Johnethan,M
1998,Johnothan,M
1998,Jonnatan,M
1999,Johannah,F
1999,Jonathan,F
1999,Johna,F
1999,Johnathan,F
1999,Jonathan,M
1999,Johnathan,M
1999,Johnathon,M
1999,Jonatan,M
1999,Johnathen,M
1999,Jonnathan,M
1999,Jhonathan,M
1999,Johnatan,M
1999,Jhonatan,M
1999,Johathan,M
1999,Johanan,M
1999,Johnthan,M
1999,Jonnatan,M
1999,Johnaton,M
1999,Johnnathan,M
1999,Johnavan,M
1999,Johnethan,M
